,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Shimshon Mefakdim,112.22,102.70,90.46,118.40,113.10,75.56,96.42,105.38,177.80
Like a Good Nabers,100.16,110.50,95.12,143.08,115.18,138.30,92.12,107.06,185.86
The DanielJones face,88.08,141.30,130.22,129.92,118.02,139.24,135.98,111.18,103.86
SSDS,115.12,76.20,100.48,116.92,100.84,92.44,86.54,87.72,129.62
QPR Giants,92.98,98.44,124.44,68.30,103.82,94.62,153.74,139.76,140.20
Mr. Carter,94.62,154.44,149.22,129.28,134.08,125.64,182.12,125.98,78.98
Pontiac Bandits,136.42,137.68,113.56,168.30,160.52,151.78,161.44,138.66,125.50
CanuckLuck,127.02,143.38,110.96,137.24,119.12,85.50,103.24,176.46,97.94
Purdy Please,93.78,117.80,112.64,111.96,98.50,112.06,138.96,115.22,114.70
Vandelay Industries,116.02,151.38,114.40,94.92,64.04,99.66,126.10,107.08,114.00
Stuart little,130.56,114.32,104.62,131.76,102.12,93.50,120.72,106.12,95.92
Raven Maniacs,135.18,88.00,123.92,118.36,158.86,105.14,72.12,117.48,89.96
