,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Shimshon Mefakdim,119.89,131.60,122.45,119.56,119.02,102.71,111.93,105.72,103.20,119.26,126.88,102.42,120.14,121.43
Like a Good Nabers,117.25,133.44,119.68,118.80,115.84,122.14,104.29,101.28,106.60,121.96,121.42,121.16,120.43,117.58
The DanielJones face,126.37,127.08,130.24,127.58,111.28,120.52,121.81,90.16,135.49,132.08,142.53,140.14,136.31,128.52
Inconceivable,123.07,124.43,104.16,102.18,107.66,115.00,108.19,90.36,98.84,110.84,118.30,120.17,115.45,114.23
QPR Giants,118.10,123.63,106.67,87.81,94.42,98.75,99.22,109.74,104.81,106.76,121.63,125.14,118.79,117.39
Mr. Carter,115.45,95.15,113.24,117.52,123.44,116.75,116.62,101.03,118.53,122.66,112.88,131.97,130.77,129.87
Pontiac Bandits,125.52,126.96,129.97,130.32,129.22,135.76,124.78,128.36,136.91,133.67,133.42,136.27,136.31,111.51
CanuckLuck,117.87,124.60,121.67,121.66,100.76,107.94,97.96,109.48,106.41,108.39,92.48,116.65,125.18,118.52
Purdy Please,123.72,125.78,120.87,114.06,94.21,113.67,101.34,111.08,119.00,102.82,129.29,105.94,129.70,125.65
Vandelay Industries,119.69,123.81,110.41,82.46,91.16,100.85,100.51,100.09,101.15,105.04,98.59,90.16,106.63,99.25
Stuart little,127.79,118.97,123.22,125.70,103.86,120.18,105.24,123.85,108.69,118.48,110.61,118.83,126.48,122.35
Raven Maniacs,123.20,126.49,123.30,117.61,106.07,113.10,114.62,107.19,102.37,107.82,106.34,104.58,113.27,112.04
