,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Sarah's Favorite Brother,125.43,127.51,112.82,115.28,110.48,116.87,112.94,111.82,102.38,107.37,110.17,113.61,135.91,121.98,126.18,93.68,73.12
Daniel-San,126.26,133.54,126.08,122.65,111.02,109.33,104.35,110.38,119.55,120.89,125.42,84.30,131.51,124.01,100.26,120.38,100.91
I WEAR MY SUNGLASSES,118.64,122.77,102.49,106.57,93.68,108.65,113.55,94.80,105.78,115.81,117.42,110.91,105.54,115.92,109.36
Princess snappers,113.32,125.00,118.71,117.66,102.57,118.09,117.07,113.48,110.45,122.17,124.38,128.97,116.98,92.00,117.01,125.42,130.45
SGMDESIGNS,125.79,123.21,131.27,124.74,112.44,93.82,85.44,75.22,92.57,99.95,104.37,97.79,104.35,102.41,101.17
Tarshizan,122.95,119.72,108.37,101.86,110.31,106.63,100.60,110.81,110.89,81.55,95.43,94.72,125.12,118.83,108.30,108.41,106.30
The Suspendeders,119.56,132.07,118.55,105.55,88.78,69.81,71.12,40.62,69.14,58.28,87.16,78.68,89.16,82.41,85.94
The Tatman,119.62,126.99,126.56,129.78,114.69,129.23,99.65,119.50,111.63,122.83,126.53,123.80,129.96,128.16,127.90,124.44,124.98
Mifakdim,113.22,97.09,109.20,105.28,109.84,113.83,110.52,102.85,112.82,121.22,104.93,123.57,122.84,104.32,119.94,128.32,129.76
Let’s go Mets,124.78,123.13,122.38,105.67,97.33,108.87,122.98,109.23,123.51,124.12,131.47,124.31,127.55,120.34,127.64,115.22,111.17
MINI YITZ,122.77,117.76,112.79,106.30,86.73,111.71,105.91,94.32,106.03,118.27,114.73,113.03,114.77,115.26,105.73,117.76,128.24
House of the Rising Sun,118.47,126.62,123.25,109.72,105.22,105.63,95.88,102.06,114.50,116.91,116.56,112.72,112.08,112.16,112.91
